,0,1,2,3,4
"Adrian, ALVARADO",0.7433361832208462,0.7500633352675561,0.8383094071356871,0.5509019231565979,1.2224820527230214
"Aidas, REKLYS",1.9454295044418044,1.9106566274925456,1.8655868277905012,2.0491090561195966,2.0406132831009502
"Alban, PREAUBERT",2.1970408323240624,2.652054444660738,2.3086892241000725,3.4938141438409462,2.31483768718349
"Alexander, SHUBIN",2.4654098623842824,3.2179686934054614,1.8868855690775,2.3081463735288534,2.5547232542620737
"Andrei, GRIAZEV",3.313903430201833,5.284552818260458,3.387946542219166,3.434907673422115,1.2812123386425964
"Andrei, LEZIN",2.5650799071699617,2.1005175325231127,2.767907512416872,2.232553286445049,4.973076067284187
"Anton, KOVALEVSKI",2.801869952909911,1.7651398582993643,2.067176531162731,2.6017013595050558,2.8147462204960028
"Ari-Pekka, NURMENKARI",2.1962481853100635,1.9530827758232792,1.5676035092650016,1.8855244007358276,1.6997805735330165
"Ben, FERREIRA",3.975236013275242,5.130865056937122,6.129882183217249,-0.21085496539871934,1.361576114364675
"Bradley, SANTER",1.9512618652636982,1.5639500377170925,1.4617903564981087,1.8915935043973,1.3632616833695503
"Brian, JOUBERT",4.36298849264059,6.108482707614509,3.478502276416066,4.635551552198045,1.2311221339942753
"Chengjiang, LI",2.6308293464792265,4.082087982891867,2.7895912580644993,5.508326523845847,3.2110133176664593
"Daisuke, TAKAHASHI",6.548048141153248,1.223399372326404,2.9007176896104863,1.7158790705000333,2.783744319777823
"Derrick, DELMORE",2.4586843810546664,2.4591513180823954,2.5099778435247333,2.7218684933546036,2.5019923129825203
"Dong-Whun, LEE",1.5930379586413692,0.6788896346224856,1.4537726175334325,1.2473099986156362,1.3487131187777153
"Edward Ka-Yin, CHOW",1.2627072998225222,0.5210096463250248,0.3553446142164216,0.5470998929941904,0.6590760392895151
"Emanuel, SANDHU",4.754820235764821,4.970943559408162,3.311221952100862,1.3085626050331014,4.65939123105145
"Evan, LYSACEK",4.729142502876399,2.123650204916619,3.330396958499507,4.096040225410233,1.6807024606592647
"Evgeni, PLUSHENKO",3.6988630101317743,4.6579249619306955,2.7055572704511714,5.737976288708238,6.51514953522438
"Frederic, DAMBIER",4.458158532919654,0.4107835659224617,2.1024417936587505,5.410989546217034,5.020886464296948
"Gareth, ECHARDT",2.1341950533087513,1.4976931970632306,1.1714287128979548,1.6550494756880096,1.9709649161065794
"Gheorghe, CHIPER",3.6288390416023084,0.7801223730121102,2.989266783980058,6.16167746463739,0.537595579629536
"Gregor, URBAS",2.298977503892547,2.7199027240777807,1.9095071600342706,3.030071489253158,1.758429062516187
"Hirokazu, KOBAYASHI",2.2541135093043514,1.9169453645145778,1.9266091113960022,1.5883382494272822,2.363349364959445
"Humberto, CONTRERAS",1.5011545381036435,0.9473883150420352,0.9019676910737066,1.6529517825470417,1.4935314649861005
"Ivan, DINEV",2.1021834210749764,3.1592671343406544,2.3881585136932357,3.8449784305159476,1.9257628307440018
"Jamal, OTHMAN",2.993534756979911,2.758434877151552,3.1316318402328807,2.4373166733350438,2.360961244627209
"Jeffrey, BUTTLE",2.6635212940414785,4.3405544165267855,3.6157132532477703,3.959653295863297,5.268924822428716
"John, HAMER",2.643859923716868,2.4372828562149054,2.2725042023560125,2.0671121025564347,1.6993542462796898
"Johnny, WEIR",4.295086331987294,5.451277477506102,4.070763800592425,5.17446155404506,2.660894742533992
"Juraj, SVIATKO",1.9847447294631704,2.1964528923963305,2.0952334622286046,2.0405889707107847,1.745194803380411
"Justin, PIETERSEN",1.069683804055654,0.8061068819920952,1.6143090759293746,1.5035800119159142,0.7119578434127909
"Kazumi, KISHIMOTO",3.0437202754982042,2.652803992968251,2.2020672058932123,2.847352834201681,2.660892686655712
"Kensuke, NAKANIWA",2.541376265739862,3.68448509750021,2.005328222156843,2.3773815475069546,5.272823949603513
"Kevin, VAN DER PERREN",3.2943483466402332,4.260490873113155,3.674107067331134,3.2906798731698754,3.3834367748336738
"Kristoffer, BERNTSSON",3.1601423869683827,2.7625032730192824,2.835695120572876,2.8531175273536467,2.5163734241498794
"Lukas, RAKOWSKI",2.46432675638012,1.9319988178774075,2.3210996471148952,2.1240352541458365,2.0971796010320376
"Lun, SONG",2.186007006902393,4.160275745468674,2.8407355883841343,2.3637054106482283,4.068804331133107
"Marc Andre, CRAIG",2.231544364958462,2.0072100196558944,2.212848249463008,2.1387967574118556,2.6817325015007243
"Martin, LIEBERS",2.6247645497868963,2.640194707438993,1.9742274875344945,1.6923104341872235,2.369677814655139
"Matthew, SAVOIE",4.824703444506073,0.6615855538132035,3.7346643375813287,3.8869659869497126,-0.16382090713130917
"Michael, WEISS",3.6861988874672593,4.486549922398605,2.6084058946418502,3.235352490146382,3.58263728183831
"Miguel Angel, MOYRON",1.6738527322949905,1.1518259416253194,1.0932867618710371,0.7563089439652175,1.1153650578296852
"Min, ZHANG",1.238643418088689,3.544108056164256,1.7944200334918765,4.146452010940496,6.0021215064543725
"Nicholas, YOUNG",3.746591560213793,2.338385511881109,3.7044655969429185,2.7003274325487667,3.551397404123173
"Paolo, BACCHINI",1.667263353669782,1.7534505948226566,1.7400934995403197,1.3719146883246878,1.2539829726930127
"Ricky, COCKERILL",2.103386182207504,1.4925595803880234,1.650996178749173,1.9739115844190795,1.7999327462041514
"Roman, SEROV",3.7801280134020696,3.588201738241947,0.7863495977430667,2.226286819893876,5.2865751287322365
"Ryan, JAHNKE",6.192218325469205,5.168017565796168,2.522414132802855,2.1143211360435132,1.649277713169514
"Samuel, CONTESTI",4.281795727697016,3.1717613511556073,3.5789551147830663,1.4938790199171779,1.9997443716944936
"Scott, SMITH",3.4804613389688672,2.956355342150438,2.8108413049927496,2.807678370861267,2.47453634172814
"Sean, CARLOW",1.5282729727127502,1.1650714761542613,1.3541520196752945,1.616220231830787,1.6510656075407262
"Sergei, DAVYDOV",2.8484339287705907,2.2740828307608996,2.8041908420799975,3.104614911678386,2.870380981143736
"Shawn, SAWYER",1.8446260483429815,1.0325540206782313,3.209880575632132,5.567724186218692,3.273306125078095
"Silvio, SMALUN",0.8464700596378796,2.690661671237262,2.0747388289582567,4.626153897936354,1.3784679076083328
"Stefan, LINDEMANN",2.0966349421287833,3.738463675770944,5.8550053919297245,3.73499428502954,1.8319796923908807
"Stephane, LAMBIEL",3.7903097255126563,3.9432312730831165,3.500480444058364,3.4787519295413527,3.1878816513896178
"Stuart, BECKINGHAM",1.9883587857458227,0.8346717663554551,1.0201083242466416,1.1712224283698522,0.9279504955684191
"Takeshi, HONDA",3.774124935328103,3.0779997834837287,3.0030677856560954,2.910888788087903,3.293395736545745
"Timothy, GOEBEL",4.284602226789216,3.240603656097198,3.6902452106702595,3.8884666914116965,4.1891862959596775
"Trifun, ZIVANOVIC",2.6358314275366928,2.106978382133016,2.2835815759328084,2.6252243903207773,2.2553849644206445
"Tristan, THODE",1.6043902166470774,1.1189099637874305,0.6951772422217968,0.7357545071125774,1.143429347696856
